Object Name,Latitude,Longitude
THOR ABLESTAR DEB,-26.861839775018925,-161.07475039810384
THOR ABLESTAR DEB,52.69781493636215,-33.64556620912587
THOR ABLESTAR DEB,67.1742238150548,34.81738377008199
THOR ABLESTAR DEB,37.51421442711543,-3.2266698524594277
THOR ABLESTAR DEB,25.98536830988826,64.99251148606123
THOR ABLESTAR DEB,-58.14161389290274,64.79840117372791
THOR ABLESTAR DEB,-38.389594950339564,-125.21409110293325
THOR ABLESTAR DEB,19.359373066204036,12.459930159508142
THOR ABLESTAR DEB,-67.1698396572868,27.643340840859867
THOR ABLESTAR DEB,-58.097758609383874,-12.560413013230102
TELSTAR 2 (A-41),14.069016892893966,-111.04464501947744
MIDAS 6 (FTV 1169),-76.76491398776103,-36.68284878490876
DELTA 1 R/B,-42.45555797999577,-46.268265164266595
DASH 1,23.388289966766074,-53.62228133193069
WESTFORD NEEDLES,-32.92586159359775,-51.791259453682
ERS 6,-11.35834464454596,129.25474957304536
HITCH HIKER 1,56.26276808831586,175.81290309510214
MIDAS 7/ERS 10,-8.102663119387586,-142.57155506628573
WESTFORD NEEDLES,-50.11814885444714,-38.20316801425466
WESTFORD NEEDLES,-62.3585600202216,-46.73088745467181
ATLAS AGENA B DEB,29.093313842553176,-151.48621954750243
ATLAS AGENA B DEB,54.691109853093,-139.31384541462327
SYNCOM 2 (A 26),34.09281417547746,83.71219852594774
ERS 9,59.804280824561715,43.402092152718
THOR ABLESTAR DEB,65.5210570839301,-23.52655054029371
THOR ABLESTAR DEB,42.94682245808862,-99.96094758897226
THOR ABLESTAR DEB,-54.29741914704186,40.29432099016527
THOR ABLESTAR DEB,63.351703900186266,-15.086561526086586
THOR ABLESTAR DEB,-45.31254260506377,37.58238640671857
THOR ABLESTAR DEB,54.70882016299976,179.64464161156053
THOR ABLESTAR DEB,-36.685718535113004,-54.67761248994937
THOR ABLESTAR DEB,18.554918464059593,146.28686890317937
THOR ABLESTAR DEB,35.00020241599726,-41.36391069451921
THOR ABLESTAR DEB,-60.34967415928668,-115.4849726490102
THOR ABLESTAR DEB,52.92084382801318,-32.75009899488975
